ParticipantID,Algus,Lõpp,Sugu,Vanus,Haridus,Töötaatus:Õpin,Tööstaatus:Töötan
92,2022-10-27 16:06:20,2022-10-27 16:39:17,Mees,21,Keskharidus,1,1
93,2022-10-27 17:01:12,NA,Naine,39,Magister või sellega võrdsustatud haridus,1,1
94,2022-10-28 15:50:21,2022-10-28 16:27:37,Naine,21,Keskharidus,1,NA
96,2022-10-30 14:52:30,2022-10-30 15:36:04,Naine,20,Keskharidus,1,NA
97,2022-10-30 15:14:11,2022-10-30 16:43:50,Naine,73,Magister või sellega võrdsustatud haridus,NA,NA
98,2022-11-01 09:10:29,2022-11-01 10:08:30,Naine,32,Magister või sellega võrdsustatud haridus,NA,NA
99,2022-11-01 11:24:03,NA,Mees,34,Keskharidus,NA,1
100,2022-11-01 11:34:54,NA,Naine,31,Magister või sellega võrdsustatud haridus,1,1
101,2022-11-01 11:38:34,NA,Naine,21,Kutsekeskharidus või kutseharidus,1,NA
102,2022-11-01 11:59:14,NA,Naine,20,Keskharidus,1,NA
103,2022-11-01 12:05:32,NA,Mees,77,Muu (palun täpsusta): TÜ filosoofia,NA,NA
104,2022-11-01 12:29:40,NA,Naine,18,Põhiharidus,1,NA
105,2022-11-01 12:39:57,NA,Naine,19,Keskharidus,1,NA
106,2022-11-01 12:43:17,NA,Naine,19,Keskharidus,1,NA
107,2022-11-01 13:03:23,NA,Naine,18,Põhiharidus,1,1
108,2022-11-01 13:06:40,NA,NA,NA,NA,NA,NA
109,2022-11-01 13:08:57,NA,Naine,19,Keskharidus,1,NA
110,2022-11-01 13:51:49,2022-11-01 14:31:37,Naine,31,Magister või sellega võrdsustatud haridus,NA,NA
111,2022-11-01 13:59:28,2022-11-01 15:19:52,Naine,29,Kutsekeskharidus või kutseharidus,NA,1
112,2022-11-01 15:19:06,NA,Naine,20,Keskharidus,1,NA
113,2022-11-01 15:55:09,NA,Naine,17,Põhiharidus,1,NA
114,2022-11-01 17:06:58,2022-11-01 17:59:26,Naine,21,Keskharidus,1,NA
115,2022-11-01 17:46:21,NA,Naine,22,Keskharidus,1,NA
116,2022-11-01 18:01:46,2022-11-01 18:51:04,Naine,27,Magister või sellega võrdsustatud haridus,1,NA
117,2022-11-01 18:24:54,NA,Naine,18,Põhiharidus,1,NA
118,2022-11-02 11:37:00,NA,Mees,22,Keskharidus,NA,1
119,2022-11-02 17:12:48,NA,Naine,19,Keskharidus,1,NA
120,2022-11-02 17:33:12,NA,NA,NA,NA,NA,NA
121,2022-11-02 17:47:59,2022-11-02 22:50:27,Mees,21,Keskharidus,1,NA
122,2022-11-02 18:09:46,NA,Naine,23,Keskharidus,1,NA
123,2022-11-02 18:27:32,2022-11-02 18:56:02,Naine,21,Keskharidus,1,1
124,2022-11-02 18:27:45,NA,Naine,23,Keskharidus,1,NA
125,2022-11-02 18:38:00,2022-11-02 19:22:05,Mees,21,Keskharidus,1,NA
126,2022-11-02 18:50:03,NA,Naine,25,Magister või sellega võrdsustatud haridus,1,NA
127,2022-11-02 19:01:13,NA,NA,NA,NA,NA,NA
128,2022-11-02 21:30:57,NA,Naine,63,Magister või sellega võrdsustatud haridus,NA,1
129,2022-11-03 09:11:10,NA,Naine,42,Magister või sellega võrdsustatud haridus,NA,1
130,2022-11-03 15:24:41,NA,Naine,23,Keskharidus,1,NA
131,2022-11-03 15:27:19,2022-11-03 15:56:40,Naine,23,Keskharidus,1,NA
132,2022-11-03 15:37:13,NA,Mees,20,Kutsekeskharidus või kutseharidus,NA,1
133,2022-11-03 22:08:17,NA,Naine,29,Magister või sellega võrdsustatud haridus,NA,NA
134,2022-11-04 09:37:24,2022-11-04 10:44:54,Mees,53,Kutsekeskharidus või kutseharidus,NA,1
135,2022-11-04 13:58:52,NA,Naine,43,Magister või sellega võrdsustatud haridus,NA,1
136,2022-11-04 14:02:22,NA,Naine,20,Keskharidus,1,NA
137,2022-11-04 14:21:49,NA,Naine,28,Magister või sellega võrdsustatud haridus,NA,1
138,2022-11-04 16:37:28,2022-11-04 17:15:55,Naine,39,Magister või sellega võrdsustatud haridus,NA,NA
139,2022-11-04 19:12:02,NA,Naine,23,Keskharidus,1,NA
